article,timestamp,views
Venezuela,2019010600,3658
Venezuela,2019010700,4081
Venezuela,2019010800,4591
Venezuela,2019010900,5168
Venezuela,2019011000,9268
Venezuela,2019011100,39601
Venezuela,2019011200,48558
Venezuela,2019011300,20385
Venezuela,2019011400,14902
Venezuela,2019011500,9880
Venezuela,2019011600,9502
Venezuela,2019011700,8812
Venezuela,2019011800,7186
Venezuela,2019011900,5819
Venezuela,2019012000,6304
Venezuela,2019012100,7298
Venezuela,2019012200,8106
Venezuela,2019012300,76524
Venezuela,2019012400,91635
Venezuela,2019012500,43402
Venezuela,2019012600,26539
Venezuela,2019012700,22222
Venezuela,2019012800,22105
Venezuela,2019012900,20619
Venezuela,2019013000,18416
Venezuela,2019013100,17758
Kayden_Boche,2019010100,17344
Kayden_Boche,2019010200,17394
Kayden_Boche,2019010300,17254
Kayden_Boche,2019010400,17315
Kayden_Boche,2019010500,17236
Kayden_Boche,2019010600,17225
Kayden_Boche,2019010700,17245
Kayden_Boche,2019010800,17217
Kayden_Boche,2019010900,17208
Kayden_Boche,2019011000,10615
Kayden_Boche,2019011100,17217
Kayden_Boche,2019011200,17209
Kayden_Boche,2019011300,17208
Kayden_Boche,2019011400,17195
Kayden_Boche,2019011500,15221
Kayden_Boche,2019011600,17201
Kayden_Boche,2019011700,17655
Kayden_Boche,2019011800,18105
Kayden_Boche,2019011900,18106
Kayden_Boche,2019012000,18107
Kayden_Boche,2019012100,18115
Kayden_Boche,2019012200,18108
Kayden_Boche,2019012300,18105
Kayden_Boche,2019012400,18186
Kayden_Boche,2019012500,18382
Kayden_Boche,2019012600,19091
Kayden_Boche,2019012700,19095
Kayden_Boche,2019012800,19096
Kayden_Boche,2019012900,19087
Kayden_Boche,2019013000,19100
Kayden_Boche,2019013100,19103
Roma_(película_de_2018),2019010100,9823
Roma_(película_de_2018),2019010200,12662
Roma_(película_de_2018),2019010300,9217
Roma_(película_de_2018),2019010400,7733
Roma_(película_de_2018),2019010500,8363
Roma_(película_de_2018),2019010600,10980
Roma_(película_de_2018),2019010700,40603
Roma_(película_de_2018),2019010800,24317
Roma_(película_de_2018),2019010900,18986
Roma_(película_de_2018),2019011000,16811
Roma_(película_de_2018),2019011100,13291
Roma_(película_de_2018),2019011200,14630
Roma_(película_de_2018),2019011300,18316
Roma_(película_de_2018),2019011400,22921
Roma_(película_de_2018),2019011500,11828
Roma_(película_de_2018),2019011600,8096
Roma_(película_de_2018),2019011700,6880
Roma_(película_de_2018),2019011800,7157
Roma_(película_de_2018),2019011900,8616
Roma_(película_de_2018),2019012000,10438
Roma_(película_de_2018),2019012100,8051
Roma_(película_de_2018),2019012200,45138
Roma_(película_de_2018),2019012300,42857
Roma_(película_de_2018),2019012400,25838
Roma_(película_de_2018),2019012500,22301
Roma_(película_de_2018),2019012600,24989
Roma_(película_de_2018),2019012700,28283
Roma_(película_de_2018),2019012800,21254
Roma_(película_de_2018),2019012900,13119
Roma_(película_de_2018),2019013000,11413
Roma_(película_de_2018),2019013100,9824
